{Timestamp; Branch number; Position in branch; Branch length; Branch generation; branchCode; Offset [mm]}
1742891820720;36;7;15;5;1,2,1,1,2;1.2
1742891820821;36;6;15;5;1,2,1,1,2;1.7
1742891820920;36;5;15;5;1,2,1,1,2;1
1742891820996;36;3;15;5;1,2,1,1,2;2.1
1742891821045;36;3;15;5;1,2,1,1,2;2.6
1742891821145;36;3;15;5;1,2,1,1,2;4.6
1742891821245;36;4;15;5;1,2,1,1,2;7.3
1742891821345;36;5;15;5;1,2,1,1,2;8.7
1742891821445;36;5;15;5;1,2,1,1,2;9.3
1742891821544;37;4;16;5;1,2,1,1,1;7.9
1742891821669;37;5;16;5;1,2,1,1,1;8.6
1742891821769;37;6;16;5;1,2,1,1,1;7.5
1742891821869;37;6;16;5;1,2,1,1,1;6.3
1742891821944;37;6;16;5;1,2,1,1,1;6.2
1742891822069;37;14;16;5;1,2,1,1,1;4.5
1742891822169;62;2;36;6;1,2,1,1,1,2;3.8
1742891822269;35;3;46;6;1,2,1,1,1,1;3.2
1742891822369;62;4;36;6;1,2,1,1,1,2;3.3
1742891822469;62;7;36;6;1,2,1,1,1,2;3.9
1742891822569;62;7;36;6;1,2,1,1,1,2;7.4
1742891822669;62;6;36;6;1,2,1,1,1,2;10.2
1742891822769;37;6;16;5;1,2,1,1,1;1.2
1742891822844;37;6;16;5;1,2,1,1,1;2.5
1742891822943;37;6;16;5;1,2,1,1,1;3.7
1742891823043;37;3;16;5;1,2,1,1,1;3.5
1742891823143;39;12;14;4;1,2,1,1;3.7
1742891823243;39;7;14;4;1,2,1,1;7.4
1742891823343;15;16;27;3;1,2,1;5.6
1742891823443;15;12;27;3;1,2,1;6.5
1742891823543;16;11;48;3;1,2,2;5.8
1742891823643;16;8;48;3;1,2,2;2.8
1742891823743;16;7;48;3;1,2,2;2
1742891823843;16;6;48;3;1,2,2;1.9
1742891823943;16;4;48;3;1,2,2;2.4
1742891824042;16;3;48;3;1,2,2;3.1
1742891824142;3;33;36;2;1,2;2.8
1742891824243;3;33;36;2;1,2;1.9
1742891824343;3;30;36;2;1,2;2.3
1742891824442;3;29;36;2;1,2;1.9
1742891824542;3;24;36;2;1,2;2.5
1742891824643;3;20;36;2;1,2;3.9
1742891824743;3;15;36;2;1,2;4.3
1742891824842;4;17;100;2;1,1;6.7
1742891824942;3;28;36;2;1,2;7.3
1742891825041;3;26;36;2;1,2;8.2
1742891825142;3;25;36;2;1,2;9.8
1742891825241;3;23;36;2;1,2;5.7
1742891825341;3;23;36;2;1,2;2
1742891825441;3;15;36;2;1,2;3.9
1742891825541;3;23;36;2;1,2;8.4
1742891825641;3;25;36;2;1,2;9.6
1742891825741;3;26;36;2;1,2;9.4
1742891825841;3;28;36;2;1,2;9.2
1742891825941;3;29;36;2;1,2;9.4
1742891826041;3;31;36;2;1,2;9.4
1742891826141;3;31;36;2;1,2;9.8
1742891826241;3;31;36;2;1,2;10
1742891826341;16;6;48;3;1,2,2;9.3
1742891826441;16;7;48;3;1,2,2;9.6
1742891826541;16;7;48;3;1,2,2;9.7
1742891826641;16;7;48;3;1,2,2;9.3
1742891826741;16;10;48;3;1,2,2;8.9
1742891826841;16;10;48;3;1,2,2;8.5
1742891826940;16;12;48;3;1,2,2;7.9
1742891827040;16;13;48;3;1,2,2;7.1
1742891827140;16;15;48;3;1,2,2;5.5
1742891827240;16;22;48;3;1,2,2;4.9
1742891827340;16;25;48;3;1,2,2;5.2
1742891827440;16;28;48;3;1,2,2;6
1742891827540;16;30;48;3;1,2,2;5.9
1742891827639;16;29;48;3;1,2,2;6.3
1742891827739;16;33;48;3;1,2,2;5.2
1742891827839;16;36;48;3;1,2,2;5
1742891827939;16;40;48;3;1,2,2;4.9
1742891828039;16;40;48;3;1,2,2;4.4
1742891828139;16;39;48;3;1,2,2;4.2
1742891828239;16;39;48;3;1,2,2;4.5
1742891828339;16;39;48;3;1,2,2;4.8
1742891828439;16;39;48;3;1,2,2;5.5
1742891828539;16;37;48;3;1,2,2;4.9
1742891828639;16;33;48;3;1,2,2;4.8
1742891828739;16;37;48;3;1,2,2;3.4
1742891828839;16;42;48;3;1,2,2;2.5
1742891828939;16;44;48;3;1,2,2;2.7
1742891829039;41;3;36;4;1,2,2,2;3.9
1742891829139;41;6;36;4;1,2,2,2;3.7
1742891829239;41;7;36;4;1,2,2,2;4.4
1742891829339;41;10;36;4;1,2,2,2;4.5
1742891829463;41;10;36;4;1,2,2,2;5.8
1742891829562;41;14;36;4;1,2,2,2;5.2
1742891829663;41;23;36;4;1,2,2,2;5.6
1742891829762;41;27;36;4;1,2,2,2;5.5
1742891829862;41;29;36;4;1,2,2,2;5.8
1742891829962;41;30;36;4;1,2,2,2;6.2
1742891830062;41;27;36;4;1,2,2,2;5.4
1742891830162;41;30;36;4;1,2,2,2;6
1742891830262;41;30;36;4;1,2,2,2;5.7
1742891830362;41;31;36;4;1,2,2,2;6.4
1742891830462;76;7;24;5;1,2,2,2,1;5.6
1742891830562;76;8;24;5;1,2,2,2,1;4.4
1742891830662;76;9;24;5;1,2,2,2,1;3.5
1742891830762;76;9;24;5;1,2,2,2,1;3.2
1742891830862;76;9;24;5;1,2,2,2,1;2.9
1742891830962;76;9;24;5;1,2,2,2,1;2.5
1742891831062;76;10;24;5;1,2,2,2,1;2.1
1742891831162;76;11;24;5;1,2,2,2,1;3
1742891831262;76;11;24;5;1,2,2,2,1;2.6
1742891831362;75;12;14;5;1,2,2,2,2;2.9
1742891831462;110;1;61;6;1,2,2,2,2,2;2.4
1742891831562;110;3;61;6;1,2,2,2,2,2;2.4
1742891831662;136;1;7;7;1,2,2,2,2,1,2;2.7
1742891831762;136;1;7;7;1,2,2,2,2,1,2;2.6
1742891831861;136;3;7;7;1,2,2,2,2,1,2;3
1742891831961;136;4;7;7;1,2,2,2,2,1,2;2.9
1742891832061;136;6;7;7;1,2,2,2,2,1,2;3.4
1742891832161;76;22;24;5;1,2,2,2,1;4.1
1742891832260;76;22;24;5;1,2,2,2,1;2.5
1742891832360;76;22;24;5;1,2,2,2,1;1.3
1742891832460;76;23;24;5;1,2,2,2,1;0.8
1742891832560;14;1;15;6;1,2,2,2,1,2;0.4
1742891832660;14;3;15;6;1,2,2,2,1,2;0.2
1742891832760;14;4;15;6;1,2,2,2,1,2;0.4
1742891832860;14;3;15;6;1,2,2,2,1,2;0.5
1742891832960;13;3;15;6;1,2,2,2,1,1;1
1742891833060;13;4;15;6;1,2,2,2,1,1;3.4
1742891833160;13;5;15;6;1,2,2,2,1,1;3.4
1742891833260;13;7;15;6;1,2,2,2,1,1;3.2
1742891833360;13;10;15;6;1,2,2,2,1,1;2.2
1742891833460;13;11;15;6;1,2,2,2,1,1;1.8
1742891833560;13;12;15;6;1,2,2,2,1,1;1.1
1742891833660;13;13;15;6;1,2,2,2,1,1;1.6
1742891833760;33;4;13;7;1,2,2,2,1,1,1;1.8
1742891833860;33;4;13;7;1,2,2,2,1,1,1;1.3
1742891833960;33;5;13;7;1,2,2,2,1,1,1;2.1
1742891834059;33;4;13;7;1,2,2,2,1,1,1;2.7
1742891834159;33;4;13;7;1,2,2,2,1,1,1;3.1
1742891834259;33;4;13;7;1,2,2,2,1,1,1;2.7
1742891834359;13;12;15;6;1,2,2,2,1,1;1.4
1742891834459;13;7;15;6;1,2,2,2,1,1;2.5
1742891834559;13;7;15;6;1,2,2,2,1,1;3.3
1742891834659;13;6;15;6;1,2,2,2,1,1;3.5
1742891834759;110;13;61;6;1,2,2,2,2,2;3.2
1742891834859;110;7;61;6;1,2,2,2,2,2;2.8
1742891834959;76;14;24;5;1,2,2,2,1;3.2
1742891835058;76;11;24;5;1,2,2,2,1;3.7
1742891835159;76;9;24;5;1,2,2,2,1;3.2
1742891835258;75;2;14;5;1,2,2,2,2;2.3
1742891835358;41;36;36;4;1,2,2,2;1.5
1742891835458;41;35;36;4;1,2,2,2;0.6
1742891835558;41;35;36;4;1,2,2,2;0.3
1742891835658;41;32;36;4;1,2,2,2;1.1
1742891835758;41;25;36;4;1,2,2,2;1.4
1742891835858;41;23;36;4;1,2,2,2;1.5
1742891835958;41;22;36;4;1,2,2,2;1.4
1742891836058;41;17;36;4;1,2,2,2;1.1
1742891836158;41;14;36;4;1,2,2,2;0.3
1742891836258;41;16;36;4;1,2,2,2;1.5
1742891836358;41;20;36;4;1,2,2,2;2.4
1742891836457;41;24;36;4;1,2,2,2;2.9
1742891836557;41;25;36;4;1,2,2,2;2.3
1742891836657;41;29;36;4;1,2,2,2;2.1
1742891836757;41;30;36;4;1,2,2,2;1.8
1742891836857;41;28;36;4;1,2,2,2;3.7
1742891836957;41;23;36;4;1,2,2,2;3.1
1742891837057;41;23;36;4;1,2,2,2;3.6
1742891837157;41;26;36;4;1,2,2,2;4.7
1742891837257;76;5;24;5;1,2,2,2,1;5.8
1742891837357;76;9;24;5;1,2,2,2,1;4.2
1742891837457;76;11;24;5;1,2,2,2,1;4.1
1742891837557;76;11;24;5;1,2,2,2,1;4.6
1742891837657;76;12;24;5;1,2,2,2,1;3.9
1742891837756;76;12;24;5;1,2,2,2,1;2.4
1742891837856;76;12;24;5;1,2,2,2,1;1.5
1742891837956;76;13;24;5;1,2,2,2,1;2.1
1742891838056;76;15;24;5;1,2,2,2,1;3.2
1742891838155;136;1;7;7;1,2,2,2,2,1,2;3.2
1742891838256;136;3;7;7;1,2,2,2,2,1,2;2.9
1742891838356;136;4;7;7;1,2,2,2,2,1,2;2.7
1742891838455;133;1;8;8;1,2,2,2,2,1,2,2;3.2
1742891838555;133;3;8;8;1,2,2,2,2,1,2,2;3.1
1742891838655;110;15;61;6;1,2,2,2,2,2;3.7
1742891838756;110;15;61;6;1,2,2,2,2,2;3
1742891838855;13;3;15;6;1,2,2,2,1,1;2.4
1742891838955;13;3;15;6;1,2,2,2,1,1;1.9
1742891839055;76;24;24;5;1,2,2,2,1;1.8
1742891839155;76;16;24;5;1,2,2,2,1;2
1742891839255;76;13;24;5;1,2,2,2,1;1.2
1742891839355;76;11;24;5;1,2,2,2,1;0.4
1742891839455;76;9;24;5;1,2,2,2,1;1
1742891839555;76;6;24;5;1,2,2,2,1;2.4
1742891839655;76;5;24;5;1,2,2,2,1;2.6
1742891839755;76;3;24;5;1,2,2,2,1;2.8
1742891839855;76;4;24;5;1,2,2,2,1;3.1
1742891839955;76;5;24;5;1,2,2,2,1;2.4
1742891840055;76;7;24;5;1,2,2,2,1;0.9
1742891840155;76;10;24;5;1,2,2,2,1;1.6
1742891840255;76;12;24;5;1,2,2,2,1;2.7
1742891840355;110;2;61;6;1,2,2,2,2,2;3.1
1742891840454;110;3;61;6;1,2,2,2,2,2;3.1
1742891840554;76;15;24;5;1,2,2,2,1;3.1
1742891840653;110;5;61;6;1,2,2,2,2,2;2.5
1742891840754;110;6;61;6;1,2,2,2,2,2;3.3
1742891840853;110;7;61;6;1,2,2,2,2,2;3.2
1742891840953;110;8;61;6;1,2,2,2,2,2;3.6
1742891841053;110;9;61;6;1,2,2,2,2,2;3.2
1742891841153;110;9;61;6;1,2,2,2,2,2;2.5
